logFC,AveExpr,t,P.Value,adj.P.Val,B,Symbol
2.88402273036004,4.5450875852214,8.65740272421128,2.95250312228644e-07,5.07153951291472e-05,7.10706860996414,RP11-374F3.4
2.87893480356003,4.78347660101187,7.76678543013364,1.15096306576894e-06,0.000133027977529091,5.81077510853112,HOPX
2.86688421610629,4.61906273322811,5.09965024551473,0.000126222390163853,0.00285972602714979,1.23862382849372,CXCR3
2.86325934393788,4.85465590594544,9.65650651658072,7.16174593162266e-08,2.62158988289516e-05,8.46272811313227,MPZL3
2.85459983122975,4.28682640391132,8.41726126980043,4.2207621180507e-07,6.35105243234988e-05,6.75543381368214,ALOX5AP
2.82036768351824,5.86094631456684,8.76617191482959,2.51687083386265e-07,4.92117862228075e-05,7.29122375657594,GLIPR1
2.79204417357609,4.90595986024535,8.56593259466457,3.38031758173886e-07,5.39160654287348e-05,6.99970222173275,HIP1
2.77625759113921,4.82685667135795,5.88423667649841,2.86799705509828e-05,0.00108399414760231,2.64569635533915,SETD7
2.7490954523638,4.75822992849157,5.37773064092604,7.39680181520212e-05,0.0019996438805504,1.70488053383687,PLEKHF1
2.72287450767124,2.7996842847894,6.71286683241818,6.56405321770262e-06,0.0003965782152362,4.10205093979168,FRMD4B
2.70638540172626,7.08663048316821,12.8099082854766,1.53783567810015e-09,2.04403992214146e-06,12.2555843817928,CD2
2.69956617689421,5.29412967766146,6.77892960474886,5.8597311606732e-06,0.000370883777828324,4.22292311360439,SKIL
2.69843116265316,3.09333032276067,4.27439040101701,0.000649730448830034,0.00887260330380055,-0.316310418722171,RP11-173C20.2
2.69490090760566,8.07651616339966,4.40142142261663,0.000502632210797505,0.00753475917501898,-0.37452683050364,MT-CO3
2.68690741785938,6.74848533894645,8.7624940254714,2.53043676188286e-07,4.92117862228075e-05,7.26101816562263,SNTB2
2.6829955654711,4.69568935645011,6.40378062167915,1.12526225391997e-05,0.000546767048406847,3.58203722539236,TSPAN5
2.67286232766283,5.10266312937916,7.04467256997414,3.73412503627872e-06,0.00027573747374373,4.6623066377094,SAMSN1
2.66589606229317,3.78233835347596,5.43956534937745,6.57687252798089e-05,0.00184037047054904,1.8932888861991,TPRG1
2.65364889327454,6.33952151490656,6.67032414211978,7.06404502155001e-06,0.000418374486655481,3.97606272083965,KIAA0513
2.58005055928647,5.24033212462512,5.03043510154413,0.000144396060957829,0.00312923528842034,1.01656156907775,YPEL1
2.56995368363606,2.73297319849165,6.07570426069716,2.02284006063884e-05,0.000827289717107421,3.05684094900605,FAM131B
2.56819703144341,6.47462501415941,6.53126986619477,8.99521356024784e-06,0.000469229871613253,3.72934062382934,FAM125B
2.56359250625456,7.18391135285045,5.63651791448658,4.53894299279881e-05,0.00145090861485374,1.96813713911094,SLC7A5
2.56264559505349,4.00350930932897,7.11649850138092,3.31137321306091e-06,0.000251506679753912,4.77227633514637,RP11-325F22.2
2.5593359446746,4.55659293959423,5.96262504691395,2.48451686131886e-05,0.000985772237264572,2.80430488376811,PELO
2.54666506699844,6.74035913650501,10.456051071947,2.48629615354126e-08,1.32627521150716e-05,9.5585544090471,PTPN22
2.53012669749245,6.04625542587475,7.40668505156464,2.05225913664782e-06,0.000188123754192717,5.21481788403955,ITM2C
2.51638683802157,4.26290167856498,5.05030127326738,0.000138919124841458,0.00305692409939058,1.13504432766025,CHN2
2.51528633423469,8.22736270565776,6.58858483052076,8.13974263254587e-06,0.000447685844790023,3.65159354030349,PFKFB3
2.50749772396772,8.04754073794894,5.35826019705606,7.6763574243412e-05,0.00204745653709435,1.36616169127968,PRDM1
2.50748521666522,6.85274201541028,8.73538473586861,2.63283836287508e-07,4.92117862228075e-05,7.23107372701878,SLC4A7
2.49162126491715,2.07938097225267,4.23818293899295,0.000699225478771102,0.0093405748629808,-0.307897540486267,TPPP
2.48939282912903,2.81684952953826,4.21549954625883,0.00073217558380736,0.0096680241478376,-0.374410729612168,AC010760.1
2.48351836174655,8.38644078044417,6.09731518126559,1.94529569776947e-05,0.000812237339775473,2.7762676233563,PTGER4
2.46958612323318,2.01166445436948,4.2154669712344,0.000732224023234346,0.0096680241478376,-0.314292940280343,SPAG1
2.45748882624947,3.98273274942064,5.73178974666869,3.80057355774766e-05,0.00128976911161862,2.42195281562969,AC010441.1
2.45327518715514,3.52044593075094,5.22765252622281,9.85770075705269e-05,0.00238945101493262,1.53268392424306,ZNF532
2.42992674339427,4.75401621395798,6.84495338596385,5.23444335856949e-06,0.000347872381538264,4.3439809336034,GRAMD4
2.40966406226797,6.41045904105083,9.02471990742251,1.73152714122442e-07,4.43509233804854e-05,7.6476961839793,ZFYVE28
2.39056729403392,3.71994961453792,5.5287687319153,5.55640625091332e-05,0.00164729887922058,2.08246741741377,TRGV10
2.38191608503529,2.84990533135642,4.45051431682805,0.000455337647782907,0.00703743748269124,0.0677355994951006,ITPRIPL2
2.38087475103218,7.35024543455837,5.17494206086749,0.000109113542230781,0.00256690412770054,1.05342371918128,FAM129A
2.37182527363027,4.83872479046894,5.82895035030386,3.17513997995273e-05,0.00116384914237509,2.54704845781492,RP11-492E3.1
2.36530673762112,7.69285333652784,7.18290800425778,2.96503236048172e-06,0.000241287072192263,4.70605080047473,ANXA1
2.36058152849047,3.21365529516824,4.65375395077745,0.000303208853457346,0.00530283027702266,0.493889554701525,GAB2
2.35518426100431,4.75189207094271,5.63508520754991,4.55112001457639e-05,0.00145090861485374,2.24486354354537,MCC
