Symbol	BB_001	BB_004	BB_005	MP_001	MP_004	MP_005	SS_001	SS_003	SS_004	SS_005	SS_006	SS_007
PDK2	102	181	92	69	131	89	92	99	76	110	128	160
PDK3	161	33	137	106	16	78	132	172	42	126	179	228
PDK4	53	0	6	27	0	1	38	53	15	5	9	13
PDLIM1	17	0	5	12	27	4	29	61	0	14	5	3
PDLIM2	415	361	227	203	367	240	386	320	71	293	251	155
PDLIM3	4	0	0	1	1	0	13	21	0	0	0	0
PDLIM4	5	0	0	1	0	0	4	7	0	0	0	0
PDLIM5	262	160	171	243	67	115	193	136	25	151	224	189
PDLIM7	99	0	48	37	66	45	32	37	26	58	25	20
PDP1	369	139	154	226	89	83	195	193	145	396	689	294
PDP2	48	0	40	67	0	24	47	65	16	35	42	64
PDPK1	451	260	482	357	496	462	503	449	210	569	739	585
PDPN	11	0	0	6	0	0	0	3	0	0	0	0
PDPR	723	374	721	250	271	417	485	588	226	474	562	568
PDRG1	55	0	27	32	42	45	85	53	11	61	46	56
PDS5A	1244	867	1511	1284	432	1157	1151	1285	604	1146	1848	2049
PDS5B	540	51	506	634	119	309	381	430	152	369	612	694
PDSS1	8	0	23	25	0	35	10	17	0	24	28	37
PDSS2	122	0	70	105	10	88	86	72	71	81	113	114
PDXDC1	377	159	265	366	253	359	434	426	192	473	434	524
PDXDC2P	216	0	61	82	96	74	87	90	123	96	72	101
PDXK	457	517	380	161	538	579	365	512	200	568	676	541
PDXP	6	14	2	0	17	6	4	0	0	7	5	5
PDZD11	16	0	14	30	0	7	30	29	0	21	36	29
PDZD2	0	0	25	13	20	30	28	73	0	43	15	118
PDZD3	2	0	0	0	0	6	2	1	0	0	2	2
PDZD4	72	571	98	16	1140	66	65	146	322	477	667	113
PDZD7	28	0	15	11	13	12	14	8	0	8	14	10
PDZD8	720	1720	613	828	253	232	773	535	411	815	686	482
PDZK1	5	0	0	0	0	0	0	4	0	6	1	2
PDZK1IP1	5	0	2	0	0	0	0	0	0	0	0	0
PDZRN3	8	0	0	12	0	0	16	18	0	0	0	0
PDZRN4	0	0	0	3	0	0	0	0	0	0	0	0
PEA15	80	160	91	67	62	44	114	132	63	84	178	120
PEAR1	9	0	0	0	0	0	0	3	0	2	1	2
PEBP1	509	303	508	339	131	260	452	451	141	435	678	603
PEBP4	0	0	1	1	15	11	4	0	0	2	0	0
PECI	184	29	134	281	88	132	241	183	11	164	132	196
PECR	43	0	50	27	49	82	59	44	30	102	84	79
PEF1	182	248	324	127	162	331	182	145	101	361	411	386
PEG10	47	0	10	44	31	6	49	36	11	12	10	8
PELI1	348	568	607	303	188	310	144	287	134	582	2115	1532
